date_observed,description,comments,place_name,latitude,longitude,geoprivacy,max_depth,bottom_time,observer_name,year,abundance,presence,pres_abs,abundance_recode,wasting,location_code,num_surveys,multiple_surveys
2001-01-08T11:13:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,74,66,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-01-13T11:52:00Z,NA,NA,Moore Point,49.6188,-124.0646,open,33,78,Andy Lamb,2001,1,1,1,2,0,Moore Point,1,0
2001-01-14T11:23:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,107,58,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-01-31T15:01:00Z,huhe,NA,Saxe Point,48.421341,-123.419459,open,53,65,Andy Lamb,2001,2,1,1,3,0,Saxe Point,1,0
2001-02-03T15:47:00Z,NA,NA,Woodlands,49.34158,-122.91888,open,102,55,Andy Lamb,2001,6,1,1,7,0,Woodlands,1,0
2001-02-10T11:19:00Z,NA,NA,Kyen Point,48.952507,-125.193858,open,63,58,Charlie Gibbs,2001,2,1,1,3,0,Kyen Point,1,0
2001-02-10T15:01:00Z,NA,NA,Mahk Reef,48.944273,-125.235184,open,69,56,Charlie Gibbs,2001,2,1,1,3,0,Mahk Reef,1,0
2001-02-11T10:22:00Z,NA,NA,Renate's Reef,48.929572,-125.304356,open,70,50,Charlie Gibbs,2001,2,1,1,3,0,Renate's Reef,1,0
2001-02-11T14:12:00Z,NA,NA,Chup Point,48.955025,-125.032349,open,59,55,Charlie Gibbs,2001,2,1,1,3,0,Chup Point,1,0
2001-02-12T16:24:00Z,congrerating,NA,Strathcona,49.31677,-122.93987,open,62,47,Andy Lamb,2001,2,1,1,3,0,Strathcona,1,0
2001-02-17T07:45:00Z,several aggreg.,NA,Andy's property,48.86797,-123.30296,open,82,48,Andy Lamb,2001,1,1,1,2,0,Andy's property,1,0
2001-02-17T11:05:00Z,NA,NA,Georgina Point,48.87333,-123.285,open,75,56,Charlie Gibbs,2001,3,1,1,4,0,Georgina Point,1,0
2001-02-17T11:40:00Z,NA,NA,Georgina Point,48.87333,-123.285,open,75,56,Andy Lamb,2001,2,1,1,3,0,Georgina Point,1,0
2001-02-24T11:23:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,72,47,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-02-25T11:03:00Z,NA,NA,Moore Point,49.6188,-124.0646,open,90,48,Andy Lamb,2001,2,1,1,3,0,Moore Point,1,0
2001-02-25T14:42:00Z,collected,NA,Snapper Gulch,49.673366,-124.085439,open,94,58,Andy Lamb,2001,1,1,1,2,0,Snapper Gulch,1,0
2001-03-03T19:39:00Z,deep in crack,NA,Caulfeild Cove,49.33717,-123.24942,open,38,56,Charlie Gibbs,2001,2,1,1,3,0,Caulfeild Cove,1,0
2001-03-06T19:43:00Z,NA,NA,Caulfeild Cove,49.33717,-123.24942,open,45,50,Andy Lamb,2001,1,1,1,2,0,Caulfeild Cove,1,0
2001-03-25T10:54:00Z,collected,NA,Snapper Gulch,49.673366,-124.085439,open,58,58,Andy Lamb,2001,1,1,1,2,0,Snapper Gulch,1,0
2001-04-08T11:32:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,96,59,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-04-09T11:04:00Z,NA,NA,Francis Peninsula,49.60316,-124.05929,open,76,55,Andy Lamb,2001,1,1,1,2,0,Francis Peninsula,1,0
2001-04-16T15:15:00Z,NA,NA,Madrona Point,49.3142,-124.241,open,63,50,Charlie Gibbs,2001,3,1,1,4,0,Madrona Point,1,0
2001-04-21T11:15:00Z,collected,NA,Green Point Bay,49.704,-124.076,open,99,50,Andy Lamb,2001,2,1,1,3,0,Green Point Bay,1,0
2001-04-22T11:32:00Z,spawning aggreg.,NA,Tree Point,49.744345,-124.027652,open,127,37,Andy Lamb,2001,2,1,1,3,0,Tree Point,1,0
2001-04-29T13:17:00Z,NA,NA,"Sunset Marina, south of marina",49.40333,-123.2455,open,67,50,Charlie Gibbs,2001,3,1,1,4,0,"Sunset Marina, south of marina",1,0
2001-05-05T10:45:00Z,NA,NA,"Jug Island, adjacent point",49.33086,-122.91426,open,73,58,Andy Lamb,2001,6,1,1,7,0,"Jug Island, adjacent point",1,0
2001-05-20T12:02:00Z,NA,NA,"Dinner Point, rocks",48.833947,-123.32936,open,82,51,Andy Lamb,2001,3,1,1,4,0,"Dinner Point, rocks",1,0
2001-05-26T11:56:00Z,NA,NA,Enchanta Bay,49.41805,-123.31215,open,81,55,Andy Lamb,2001,1,1,1,2,0,Enchanta Bay,1,0
2001-05-29T16:31:00Z,NA,NA,Caulfeild Cove,49.33717,-123.24942,open,73,53,Andy Lamb,2001,1,1,1,2,0,Caulfeild Cove,1,0
2001-06-03T13:00:00Z,NA,NA,Whytecliff,49.371666,-123.293335,open,127,51,Charlie Gibbs,2001,3,1,1,4,0,Whytecliff,1,0
2001-06-09T11:09:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,89,55,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-06-09T16:21:00Z,manr,NA,Tree Point,49.744345,-124.027652,open,102,41,Andy Lamb,2001,1,1,1,2,0,Tree Point,1,0
2001-06-09T20:32:00Z,NA,NA,Walt's Wall,50.588088,-126.833791,open,92,38,Charlie Gibbs,2001,NA,NA,0,1,0,Walt's Wall,1,0
2001-06-10T10:02:00Z,NA,NA,Adam's Wall,51.717458,-128.167883,open,63,45,Charlie Gibbs,2001,2,1,1,3,0,Adam's Wall,1,0
2001-06-10T11:05:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,125,48,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-06-12T11:47:00Z,NA,NA,Metridium City,54.6516,-130.8275,open,144,39,Charlie Gibbs,2001,2,1,1,3,0,Metridium City,1,0
2001-06-14T20:46:00Z,NA,NA,Kal's White,49.634,-123.824,open,103,47,Charlie Gibbs,2001,3,1,1,4,0,Kal's White,1,0
2001-06-17T21:42:00Z,NA,NA,Anderson Point,54.2383,-132.9598,open,64,45,Charlie Gibbs,2001,1,1,1,2,0,Anderson Point,1,0
2001-06-18T10:01:00Z,NA,NA,Langara Rocks,54.2611,-133.03005,open,61,46,Charlie Gibbs,2001,2,1,1,3,0,Langara Rocks,1,0
2001-06-18T15:49:00Z,large,NA,Ephigenia Wall,54.19005,-133.01435,open,110,37,Charlie Gibbs,2001,2,1,1,3,0,Ephigenia Wall,1,0
2001-06-19T14:37:00Z,NA,NA,Salmon Point,52.876019,-129.162308,open,80,38,Charlie Gibbs,2001,2,1,1,3,0,Salmon Point,1,0
2001-06-19T21:25:00Z,NA,NA,wreck of the Ohio,54.6516,-130.8275,open,79,47,Charlie Gibbs,2001,2,1,1,3,0,wreck of the Ohio,1,0
2001-06-20T07:33:00Z,NA,NA,Nalau Pass,51.7882,-128.0604,open,80,39,Charlie Gibbs,2001,NA,NA,0,1,0,Nalau Pass,1,0
2001-06-20T13:54:00Z,large,NA,Deserters Passage,50.886445,-127.427922,open,68,48,Charlie Gibbs,2001,2,1,1,3,0,Deserters Passage,1,0
2001-06-20T15:43:00Z,NA,NA,Outer Narrows,51.087478,-127.63324,open,80,37,Charlie Gibbs,2001,NA,NA,0,1,0,Outer Narrows,1,0
2001-06-20T20:55:00Z,NA,NA,Turret Rock,51.088792,-127.473539,open,47,20,Charlie Gibbs,2001,NA,NA,0,1,0,Turret Rock,1,0
2001-06-21T10:20:00Z,NA,NA,Harris Island,51.12354,-127.166834,open,87,40,Charlie Gibbs,2001,NA,NA,0,1,0,Harris Island,1,0
2001-06-21T18:55:00Z,NA,NA,Rock 'n' Roll Drift,50.585009,-126.764268,open,64,32,Charlie Gibbs,2001,2,1,1,3,0,Rock 'n' Roll Drift,1,0
2001-06-25T17:12:00Z,NA,NA,"Double Bay, islet",50.59019,-126.76249,open,102,51,Andy Lamb,2001,1,1,1,2,0,"Double Bay, islet",1,0
2001-06-25T20:37:00Z,NA,NA,Walt's Wall,50.588088,-126.833791,open,85,70,Andy Lamb,2001,1,1,1,2,0,Walt's Wall,1,0
2001-06-26T11:03:00Z,NA,NA,Adam's Wall,51.717458,-128.167883,open,85,51,Andy Lamb,2001,1,1,1,2,0,Adam's Wall,1,0
2001-06-26T20:34:00Z,NA,NA,Clavella Wall,57.126197,-134.117103,open,83,50,Andy Lamb,2001,NA,NA,0,1,0,Clavella Wall,1,0
2001-06-27T11:04:00Z,NA,NA,wreck of the Transpac,52.99686,-128.964554,open,102,46,Andy Lamb,2001,1,1,1,2,0,wreck of the Transpac,1,0
2001-06-27T15:24:00Z,NA,NA,wreck of the Transpac,52.99686,-128.964554,open,124,48,Andy Lamb,2001,1,1,1,2,0,wreck of the Transpac,1,0
2001-06-28T12:29:00Z,NA,NA,Metridium City,54.6516,-130.8275,open,125,43,Andy Lamb,2001,1,1,1,2,0,Metridium City,1,0
2001-07-03T10:34:00Z,NA,NA,"Masset, customs dock",54.00669,-132.1457,open,36,30,Andy Lamb,2001,3,1,1,4,0,"Masset, customs dock",1,0
2001-07-03T16:34:00Z,NA,NA,Ephigenia Wall,54.19005,-133.01435,open,83,52,Andy Lamb,2001,2,1,1,3,0,Ephigenia Wall,1,0
2001-07-03T21:34:00Z,NA,NA,Ephigenia Wall,54.19005,-133.01435,open,84,51,Andy Lamb,2001,3,1,1,4,0,Ephigenia Wall,1,0
2001-07-04T08:09:00Z,NA,NA,Anderson Point,54.2383,-132.9598,open,76,47,Andy Lamb,2001,2,1,1,3,0,Anderson Point,1,0
2001-07-04T20:17:00Z,NA,NA,Ephigenia Wall,54.19005,-133.01435,open,113,47,Andy Lamb,2001,2,1,1,3,0,Ephigenia Wall,1,0
2001-07-05T09:23:00Z,NA,NA,wreck of the Ohio,54.6516,-130.8275,open,64,39,Andy Lamb,2001,2,1,1,3,0,wreck of the Ohio,1,0
2001-07-05T18:46:00Z,NA,NA,"Lama Pass, marker light",52.394392,-128.790123,open,101,51,Andy Lamb,2001,2,1,1,3,0,"Lama Pass, marker light",1,0
2001-07-06T08:34:00Z,NA,NA,Dillon Rock,50.855427,-127.854844,open,69,52,Andy Lamb,2001,2,1,1,3,0,Dillon Rock,1,0
2001-07-06T15:31:00Z,NA,NA,Dillon Rock,50.855427,-127.854844,open,71,51,Andy Lamb,2001,1,1,1,2,0,Dillon Rock,1,0
2001-07-06T20:37:00Z,NA,NA,Hussar Point,50.850578,-127.656457,open,100,48,Andy Lamb,2001,1,1,1,2,0,Hussar Point,1,0
2001-07-07T09:16:00Z,NA,NA,Browning Wall,50.847722,-127.643881,open,83,63,Andy Lamb,2001,2,1,1,3,0,Browning Wall,1,0
2001-07-07T15:02:00Z,NA,NA,"Alert Bay, dock",50.580209,-126.927371,open,29,32,Andy Lamb,2001,1,1,1,2,0,"Alert Bay, dock",1,0
2001-07-07T18:21:00Z,NA,NA,Plumper Rock,50.585009,-126.764268,open,102,38,Andy Lamb,2001,1,1,1,2,0,Plumper Rock,1,0
2001-07-11T10:23:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,97,51,Andy Lamb,2001,NA,NA,0,1,0,Green Point Bay,1,0
2001-07-12T11:24:00Z,NA,NA,Upwood Point,49.491797,-124.124957,open,91,61,Andy Lamb,2001,2,1,1,3,0,Upwood Point,1,0
2001-07-12T15:11:00Z,NA,NA,Gnarled Tree Wall,49.517436,-124.137195,open,99,56,Andy Lamb,2001,2,1,1,3,0,Gnarled Tree Wall,1,0
2001-08-11T22:12:00Z,NA,NA,"Whytecliff, Cut",49.37267,-123.2935,open,80,57,Charlie Gibbs,2001,3,1,1,4,0,"Whytecliff, Cut",1,0
2001-08-18T12:32:00Z,NA,NA,"Tofino Harbour, Remote Passages breakwater",49.155,-125.908,open,21,27,Andy Lamb,2001,1,1,1,2,0,"Tofino Harbour, Remote Passages breakwater",1,0
2001-08-18T13:23:00Z,NA,NA,"Tofino Harbour, boat harbour and launch ramp",49.155065,-125.901677,open,23,27,Charlie Gibbs,2001,2,1,1,3,0,"Tofino Harbour, boat harbour and launch ramp",1,0
2001-09-01T13:50:00Z,NA,NA,Saltery Bay,49.779157,-124.189988,open,124,51,Charlie Gibbs,2001,3,1,1,4,0,Saltery Bay,1,0
2001-09-02T12:22:00Z,NA,NA,Shelter Point,49.496257,-124.123257,open,79,62,Charlie Gibbs,2001,3,1,1,4,0,Shelter Point,1,0
2001-09-03T13:03:00Z,NA,NA,Saltery Bay,49.779157,-124.189988,open,129,42,Charlie Gibbs,2001,2,1,1,3,0,Saltery Bay,1,0
2001-09-09T11:42:00Z,NA,NA,Anderson Bay,49.512358,-124.130188,open,87,43,Andy Lamb,2001,3,1,1,4,0,Anderson Bay,1,0
2001-09-11T11:23:00Z,NA,NA,Diamond Point,49.494696,-124.12243,open,97,56,Andy Lamb,2001,NA,NA,0,1,0,Diamond Point,1,0
2001-09-11T16:12:00Z,clusters,NA,Upwood Point,49.491797,-124.124957,open,93,59,Andy Lamb,2001,2,1,1,3,0,Upwood Point,1,0
2001-09-12T11:30:00Z,NA,NA,Snapper Gulch,49.673366,-124.085439,open,84,60,Donna Gibbs,2001,1,1,1,2,0,Snapper Gulch,1,0
2001-09-12T11:43:00Z,clustered,NA,Anderson Bay,49.512358,-124.130188,open,87,65,Andy Lamb,2001,3,1,1,4,0,Anderson Bay,1,0
2001-09-12T14:00:00Z,NA,NA,Francis Peninsula,49.60316,-124.05929,open,84,45,Donna Gibbs,2001,3,1,1,4,0,Francis Peninsula,1,0
2001-09-12T15:41:00Z,NA,NA,"Anderson Bay, channel",49.515702,-124.132806,open,72,59,Andy Lamb,2001,2,1,1,3,0,"Anderson Bay, channel",1,0
2001-09-13T11:30:00Z,NA,NA,"Sutton Islets, east islet, SW point",49.76273,-123.93908,open,90,65,Andy Lamb,2001,1,1,1,2,0,"Sutton Islets, east islet, SW point",1,0
2001-09-17T19:03:00Z,NA,NA,Caulfeild Cove,49.33717,-123.24942,open,71,61,Andy Lamb,2001,2,1,1,3,0,Caulfeild Cove,1,0
2001-10-02T10:58:00Z,NA,NA,Ansell Point,49.3978,-123.25255,open,80,61,Andy Lamb,2001,2,1,1,3,0,Ansell Point,1,0
2001-10-08T08:47:00Z,NA,NA,Andy's property,48.86797,-123.30296,open,79,58,Andy Lamb,2001,1,1,1,2,0,Andy's property,1,0
2001-10-08T16:02:00Z,NA,NA,Piele Point,48.85167,-123.405,open,86,72,Andy Lamb,2001,3,1,1,4,0,Piele Point,1,0
2001-10-13T09:11:00Z,NA,NA,Tilly Point,48.73167,-123.20833,open,71,49,Andy Lamb,2001,2,1,1,3,0,Tilly Point,1,0
2001-10-13T16:08:00Z,NA,NA,Brooks Point,48.734,-123.189,open,69,61,Andy Lamb,2001,3,1,1,4,0,Brooks Point,1,0
2001-10-20T11:02:00Z,NA,NA,Anderson Bay,49.512358,-124.130188,open,82,64,Andy Lamb,2001,2,1,1,3,0,Anderson Bay,1,0
2001-10-21T10:53:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,115,18,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-10-21T14:02:00Z,NA,NA,"Sutton Islets, east islet, SW point",49.76273,-123.93908,open,67,49,Andy Lamb,2001,2,1,1,3,0,"Sutton Islets, east islet, SW point",1,0
2001-10-22T10:48:00Z,in groups,NA,Snapper Gulch,49.673366,-124.085439,open,117,53,Andy Lamb,2001,1,1,1,2,0,Snapper Gulch,1,0
2001-11-03T10:51:00Z,NA,NA,Sakinaw Rock,49.56685,-123.80347,open,93,61,Charlie Gibbs,2001,2,1,1,3,0,Sakinaw Rock,1,0
2001-11-03T14:05:00Z,NA,NA,Tzoonie Narrows,49.710127,-123.775658,open,52,60,Charlie Gibbs,2001,2,1,1,3,0,Tzoonie Narrows,1,0
2001-11-04T10:23:00Z,NA,NA,Tree Point,49.744345,-124.027652,open,98,10,Andy Lamb,2001,1,1,1,2,0,Tree Point,1,0
2001-11-04T11:15:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,72,47,Andy Lamb,2001,NA,NA,0,1,0,Green Point Bay,1,0
2001-11-17T10:32:00Z,NA,NA,Sakinaw Rock,49.56685,-123.80347,open,100,60,Charlie Gibbs,2001,2,1,1,3,0,Sakinaw Rock,1,0
2001-11-18T13:20:00Z,small,NA,Worlcombe Island,49.348331,-123.453331,open,96,48,Charlie Gibbs,2001,2,1,1,3,0,Worlcombe Island,1,0
2001-11-21T19:49:00Z,small,NA,Copper Cove,49.37897,-123.28012,open,112,47,Charlie Gibbs,2001,2,1,1,3,0,Copper Cove,1,0
2001-11-23T10:39:00Z,NA,NA,Fearney Bluffs,49.648,-124.089,open,98,8,Andy Lamb,2001,NA,NA,0,1,0,Fearney Bluffs,1,0
2001-11-23T12:31:00Z,NA,NA,Moore Point,49.6188,-124.0646,open,82,50,Andy Lamb,2001,1,1,1,2,0,Moore Point,1,0
2001-11-24T10:04:00Z,NA,NA,Fearney Bluffs,49.648,-124.089,open,98,12,Andy Lamb,2001,1,1,1,2,0,Fearney Bluffs,1,0
2001-11-24T11:54:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,45,52,Andy Lamb,2001,1,1,1,2,0,Green Point Bay,1,0
2001-11-24T15:43:00Z,NA,NA,Round Islet,49.767446,-124.019472,open,73,49,Andy Lamb,2001,1,1,1,2,0,Round Islet,1,0
2001-11-25T11:09:00Z,NA,NA,Moore Point,49.6188,-124.0646,open,74,59,Andy Lamb,2001,2,1,1,3,0,Moore Point,1,0
2001-11-25T14:34:00Z,NA,NA,Francis Peninsula,49.60316,-124.05929,open,73,61,Andy Lamb,2001,3,1,1,4,0,Francis Peninsula,1,0
2001-12-03T15:07:00Z,collected,NA,Cowan Point,49.33546,-123.36059,open,114,46,Andy Lamb,2001,2,1,1,3,0,Cowan Point,1,0
2001-12-04T14:00:00Z,NA,NA,Grebe Islets,49.341,-123.2765,open,90,40,Donna Gibbs,2001,2,1,1,3,0,Grebe Islets,1,0
2001-12-07T15:34:00Z,NA,NA,Snapper Gulch,49.673366,-124.085439,open,105,49,Charlie Gibbs,2001,1,1,1,2,0,Snapper Gulch,1,0
2001-12-09T10:54:00Z,NA,NA,Fearney Bluffs,49.648,-124.089,open,128,46,Charlie Gibbs,2001,2,1,1,3,0,Fearney Bluffs,1,0
2001-12-09T14:06:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,117,49,Charlie Gibbs,2001,1,1,1,2,0,Green Point Bay,1,0
2001-12-19T13:00:00Z,in spawning group,NA,"W Passage Reefs, north",49.346944,-123.325833,open,100,48,Donna Gibbs,2001,3,1,1,4,0,"W Passage Reefs, north",1,0
2001-12-19T13:02:00Z,NA,NA,"W Passage Reefs, north",49.346944,-123.325833,open,116,31,Andy Lamb,2001,1,1,1,2,0,"W Passage Reefs, north",1,0
2001-12-19T15:32:00Z,NA,NA,"W Passage Reefs, north",49.346944,-123.325833,open,37,15,Andy Lamb,2001,1,1,1,2,0,"W Passage Reefs, north",1,0
2001-12-23T12:26:00Z,NA,NA,Lookout Point,49.37702,-123.28948,open,134,45,Charlie Gibbs,2001,3,1,1,4,0,Lookout Point,1,0
2001-12-23T14:55:00Z,NA,NA,Whytecliff,49.371666,-123.293335,open,101,51,Charlie Gibbs,2001,3,1,1,4,0,Whytecliff,1,0
2001-12-29T10:21:00Z,NA,NA,Fearney Bluffs,49.648,-124.089,open,101,11,Andy Lamb,2001,NA,NA,0,1,0,Fearney Bluffs,1,0
2001-12-29T11:54:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,45,55,Andy Lamb,2001,NA,NA,0,1,0,Green Point Bay,1,0
2001-12-29T13:44:00Z,NA,NA,Georgina Point,48.87333,-123.285,open,85,43,Charlie Gibbs,2001,2,1,1,3,0,Georgina Point,1,0
2001-12-30T11:32:00Z,NA,NA,Anderson Bay,49.512358,-124.130188,open,61,66,Andy Lamb,2001,1,1,1,2,0,Anderson Bay,1,0
2002-01-10T10:35:00Z,in spawning groups??,NA,Point Atkinson,49.32967,-123.26487,open,60,32,Donna Gibbs,2002,3,1,1,4,0,Point Atkinson,1,0
2002-01-12T10:51:00Z,NA,NA,Tree Point,49.744345,-124.027652,open,104,13,Andy Lamb,2002,1,1,1,2,0,Tree Point,1,0
2002-01-12T11:21:00Z,NA,NA,Green Point Bay,49.704,-124.076,open,36,42,Andy Lamb,2002,1,1,1,2,0,Green Point Bay,1,0
2002-01-13T10:52:00Z,NA,NA,Snapper Gulch,49.673366,-124.085439,open,124,51,Andy Lamb,2002,2,1,1,3,0,Snapper Gulch,1,0
2002-01-19T15:23:00Z,NA,NA,Woodlands,49.34158,-122.91888,open,93,56,Andy Lamb,2002,6,1,1,7,0,Woodlands,1,0
2002-01-25T12:43:00Z,NA,NA,"W Passage Reefs, north",49.346944,-123.325833,open,81,49,Andy Lamb,2002,NA,NA,0,1,0,"W Passage Reefs, north",1,0
2002-02-03T15:31:00Z,NA,NA,"Whytecliff, north of Cut",49.3725,-123.29383,open,108,58,Andy Lamb,2002,5,1,1,6,0,"Whytecliff, north of Cut",1,0
2002-02-09T12:08:00Z,NA,NA,"Sutton Islets, east islet, SW point",49.76273,-123.93908,open,68,56,Andy Lamb,2002,1,1,1,2,0,"Sutton Islets, east islet, SW point",1,0
2002-02-09T13:01:00Z,NA,NA,"Whytecliff, Cut and marker",49.3715,-123.29383,open,111,47,Charlie Gibbs,2002,1,1,1,2,0,"Whytecliff, Cut and marker",1,0
2002-02-09T15:51:00Z,NA,NA,"Sutton Islets, east islet, SW point",49.76273,-123.93908,open,98,56,Andy Lamb,2002,1,1,1,2,0,"Sutton Islets, east islet, SW point",1,0
2002-02-10T11:13:00Z,NA,NA,Backeddy Pub,49.7572,-123.93925,open,94,59,Andy Lamb,2002,2,1,1,3,0,Backeddy Pub,1,0
2002-02-13T19:37:00Z,NA,NA,"Whytecliff, island",49.36933,-123.29233,open,89,45,Charlie Gibbs,2002,3,1,1,4,0,"Whytecliff, island",1,0
2002-02-16T13:22:00Z,NA,NA,Georgina Point,48.87333,-123.285,open,62,55,Andy Lamb,2002,1,1,1,2,0,Georgina Point,1,0
2002-02-17T13:48:00Z,NA,NA,Andy's property,48.86797,-123.30296,open,95,54,Andy Lamb,2002,1,1,1,2,0,Andy's property,1,0
2002-02-20T11:30:00Z,NA,NA,Popham Island breakwater,49.358,-123.483,open,59,40,Donna Gibbs,2002,2,1,1,3,0,Popham Island breakwater,1,0
2002-02-20T13:30:00Z,NA,NA,Hutt boot marker,49.40751,-123.37591,open,50,30,Donna Gibbs,2002,NA,NA,0,1,0,Hutt boot marker,1,0
2002-02-24T10:36:00Z,NA,NA,Snapper Gulch,49.673366,-124.085439,open,116,48,Andy Lamb,2002,2,1,1,3,0,Snapper Gulch,1,0
2002-02-27T12:00:00Z,NA,NA,"W Passage Reefs, north",49.346944,-123.325833,open,55,40,Donna Gibbs,2002,2,1,1,3,0,"W Passage Reefs, north",1,0
