form,abundance,exp,type,geogr,month,day,year,stemp,btemp,btime,start,visibility,averagedepth,maxdepth,current,habitat,site_ymd,abundance_recode,presence,exp_binary,num_surveys,multiple_surveys,wasting,region
5113824,0,E,3,11130001,6,22,2016,0,54,65,14,3,1,1,2,9,11130001_22_6_2016,1,0,1,1,0,0,11
42375,2,N,3,11140001,10,4,2008,69,57,46,15,2,NULL,6,3,12,11140001_4_10_2008,3,1,0,3,1,0,11
42389,2,N,3,11140001,7,4,2008,69,55,49,14,3,NULL,7,2,12,11140001_4_7_2008,3,1,0,1,0,0,11
42372,2,N,3,11140001,9,4,2008,69,0,48,14,2,NULL,6,0,12,11140001_4_9_2008,3,1,0,1,0,0,11
5181182,2,E,3,11160101,7,18,2021,0,54,55,9,2,6,9,1,2,11160101_18_7_2021,3,1,1,1,0,0,11
5144607,3,E,3,11160101,8,18,2018,0,50,59,14,2,5,6,2,9,11160101_18_8_2018,4,1,1,1,0,0,11
5172160,2,E,3,11160101,9,18,2020,0,54,57,16,2,5,7,2,10,11160101_18_9_2020,3,1,1,1,0,0,11
5161138,0,E,3,11160101,6,19,2010,0,50,58,9,3,6,9,1,2,11160101_19_6_2010,1,0,1,1,0,0,11
5144612,0,E,3,11160101,8,19,2018,0,50,57,10,2,7,9,1,11,11160101_19_8_2018,1,0,1,1,0,0,11
5171752,0,E,3,11160101,10,20,2009,0,50,60,9,3,7,9,1,10,11160101_20_10_2009,1,0,1,1,0,0,11
35248,2,N,3,11160101,9,22,2003,0,52,42,13,3,NULL,7,2,12,11160101_22_9_2003,3,1,0,1,0,0,11
41083,3,N,3,11160101,10,3,2010,50,50,68,18,3,NULL,8,2,11,11160101_3_10_2010,4,1,0,6,1,0,11
19316,2,N,3,11160102,7,1,2007,0,0,34,10,2,NULL,10,3,3,11160102_1_7_2007,3,1,0,1,0,0,11
19349,0,N,3,11160102,2,18,2002,0,46,34,10,4,NULL,12,2,3,11160102_18_2_2002,1,0,0,1,0,0,11
5170072,0,E,3,11160102,7,18,2020,0,50,32,12,2,8,10,2,3,11160102_18_7_2020,1,0,1,1,0,0,11
5172164,1,E,3,11160102,9,19,2020,0,50,42,15,2,8,10,3,3,11160102_19_9_2020,2,1,1,1,0,0,11
45283,0,E,3,11160102,5,20,2005,52,52,35,12,3,NULL,12,2,3,11160102_20_5_2005,1,0,1,1,0,0,11
5126300,0,E,3,11160102,5,22,2017,0,43,51,13,3,8,10,2,3,11160102_22_5_2017,1,0,1,1,0,0,11
5103794,1,N,3,11160102,9,26,2015,66,52,39,14,1,NULL,5,2,2,11160102_26_9_2015,2,1,0,1,0,1,11
41079,2,E,3,11160102,10,3,2010,0,50,44,10,3,NULL,11,2,3,11160102_3_10_2010,3,1,1,6,1,0,11
18653,1,N,3,11160102,9,3,2010,49,49,39,10,3,NULL,11,1,12,11160102_3_9_2010,2,1,0,1,0,0,11
5181161,0,E,3,11160103,7,16,2021,0,48,40,16,2,7,12,1,11,11160103_16_7_2021,1,0,1,1,0,0,11
19348,0,N,3,11160103,2,17,2002,0,46,35,14,4,NULL,10,1,12,11160103_17_2_2002,1,0,0,1,0,0,11
5170071,0,E,3,11160103,7,18,2020,0,52,49,10,2,7,12,1,11,11160103_18_7_2020,1,0,1,1,0,0,11
5144611,0,E,3,11160103,8,18,2018,0,50,50,17,3,8,12,1,11,11160103_18_8_2018,1,0,1,1,0,0,11
5153685,0,E,3,11160103,1,19,2004,0,46,56,10,3,7,12,1,11,11160103_19_1_2004,1,0,1,1,0,0,11
5162741,0,E,3,11160103,11,19,2011,0,48,51,10,3,7,12,1,11,11160103_19_11_2011,1,0,1,1,0,0,11
36262,2,N,3,11160103,5,19,2002,46,0,31,17,3,NULL,7,1,12,11160103_19_5_2002,3,1,0,1,0,0,11
5172167,2,E,3,11160103,9,20,2020,0,50,50,14,2,7,12,1,11,11160103_20_9_2020,3,1,1,1,0,0,11
5157825,0,E,3,11160103,7,21,2019,0,52,52,15,2,8,12,1,11,11160103_21_7_2019,1,0,1,1,0,0,11
37211,1,N,3,11160103,10,26,2002,0,47,50,16,2,NULL,9,2,12,11160103_26_10_2002,2,1,0,1,0,0,11
40628,3,E,3,11160103,7,27,2004,0,52,41,7,3,NULL,12,2,12,11160103_27_7_2004,4,1,1,1,0,0,11
41065,2,E,3,11160103,9,3,2010,0,50,47,10,3,NULL,9,1,12,11160103_3_9_2010,3,1,1,5,1,0,11
19314,2,N,3,11160104,7,1,2007,0,0,41,12,3,NULL,11,2,11,11160104_1_7_2007,3,1,0,1,0,0,11
