dummy_id,year,survey_name,stat_area,num_quadrats,num_pycno,pycno_density,bottom_time,presence,source,region_numeric
1_A,2006,CC 2006 Index sites survey,5,16,4,0.25,71,1,abalone,2
2_A,2006,CC 2006 Index sites survey,5,16,1,0.0625,27,1,abalone,2
3_A,2006,CC 2006 Index sites survey,5,16,1,0.0625,40,1,abalone,2
4_A,2006,CC 2006 Index sites survey,5,16,3,0.1875,24,1,abalone,2
5_A,2006,CC 2006 Index sites survey,5,16,5,0.3125,35,1,abalone,2
6_A,2006,CC 2006 Index sites survey,5,16,5,0.3125,44,1,abalone,2
7_A,2006,CC 2006 Index sites survey,5,16,2,0.125,29,1,abalone,2
8_A,2006,CC 2006 Index sites survey,5,16,1,0.0625,44,1,abalone,2
9_A,2006,CC 2006 Index sites survey,6,16,7,0.4375,66,1,abalone,2
10_A,2006,CC 2006 Index sites survey,6,16,2,0.125,39,1,abalone,2
11_A,2006,CC 2006 Index sites survey,6,16,4,0.25,35,1,abalone,2
12_A,2006,CC 2006 Index sites survey,6,16,0,0,24,0,abalone,2
13_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,28,1,abalone,2
14_A,2006,CC 2006 Index sites survey,6,16,0,0,32,0,abalone,2
15_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,29,1,abalone,2
16_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,34,1,abalone,2
17_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,29,1,abalone,2
18_A,2006,CC 2006 Index sites survey,6,16,0,0,26,0,abalone,2
19_A,2006,CC 2006 Index sites survey,6,16,4,0.25,52,1,abalone,2
20_A,2006,CC 2006 Index sites survey,6,16,0,0,33,0,abalone,2
21_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,24,1,abalone,2
22_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,28,1,abalone,2
23_A,2006,CC 2006 Index sites survey,6,15,5,0.333333333,47,1,abalone,2
24_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,34,1,abalone,2
25_A,2006,CC 2006 Index sites survey,6,16,4,0.25,47,1,abalone,2
26_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,45,1,abalone,2
27_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,31,1,abalone,2
28_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,32,1,abalone,2
29_A,2006,CC 2006 Index sites survey,6,16,0,0,42,0,abalone,2
30_A,2006,CC 2006 Index sites survey,6,16,2,0.125,55,1,abalone,2
31_A,2006,CC 2006 Index sites survey,6,16,0,0,39,0,abalone,2
32_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,40,1,abalone,2
33_A,2006,CC 2006 Index sites survey,6,16,1,0.0625,45,1,abalone,2
34_A,2006,CC 2006 Index sites survey,6,16,0,0,59,0,abalone,2
35_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,33,1,abalone,2
36_A,2006,CC 2006 Index sites survey,6,16,4,0.25,50,1,abalone,2
37_A,2006,CC 2006 Index sites survey,6,16,2,0.125,45,1,abalone,2
38_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,45,1,abalone,2
39_A,2006,CC 2006 Index sites survey,6,16,2,0.125,31,1,abalone,2
40_A,2006,CC 2006 Index sites survey,6,16,5,0.3125,36,1,abalone,2
41_A,2006,CC 2006 Index sites survey,6,16,3,0.1875,65,1,abalone,2
