x1,location_code_numeric,dec_lat,dec_long,location,depth,pres_abs,density_m2,totalpycnos,area,population_phase,depth_bin,event_year,date,region_full,region_shall,region_deep,source,b_time,max_depth,abundance,date_2,wasting,wasting_presence,site_ymd,n,multiple_surveys
13248,47.33121_-122.5813,47.33121,-122.5813,n/a,-10,1,0.011111111,4,360,Decline,shallow,2014,1/16/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.33121_-122.5813_1/16/2014,1,0
13251,47.38337_-122.8248,47.38337,-122.8248,n/a,-10,1,0.016666667,2,120,Decline,shallow,2015,1/12/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.38337_-122.8248_1/12/2015,1,0
13250,47.38337_-122.8248,47.38337,-122.8248,n/a,-10,1,0.016666667,5,300,Decline,shallow,2014,1/25/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.38337_-122.8248_1/25/2014,1,0
13351,47.38337_-122.8248,47.38337,-122.8248,n/a,-10,1,0.008333333,1,120,Decline,shallow,2015,12/14/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.38337_-122.8248_12/14/2015,1,0
13259,47.38337_-122.8248,47.38337,-122.8248,n/a,-10,1,0.008333333,1,120,Decline,shallow,2015,2/9/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.38337_-122.8248_2/9/2015,1,0
13278,47.38337_-122.8248,47.38337,-122.8248,n/a,-10,1,0.008333333,1,120,Decline,shallow,2015,4/15/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.38337_-122.8248_4/15/2015,1,0
13260,47.51666_-123.0333,47.51666,-123.0333,n/a,-10,1,0.008333333,1,120,Decline,shallow,2015,2/26/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.51666_-123.0333_2/26/2015,1,0
13264,47.51666_-123.0333,47.51666,-123.0333,n/a,-10,1,0.054166667,13,240,Decline,shallow,2014,3/16/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.51666_-123.0333_3/16/2014,1,0
13273,47.51666_-123.0333,47.51666,-123.0333,n/a,-10,1,0.008333333,1,120,Current,shallow,2018,3/2/2018,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,0,47.51666_-123.0333_3/2/2018,1,0
13271,47.51666_-123.0333,47.51666,-123.0333,n/a,-10,1,0.008333333,1,120,Decline,shallow,2016,3/28/2016,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,0,47.51666_-123.0333_3/28/2016,1,0
13294,47.51666_-123.0333,47.51666,-123.0333,n/a,-10,1,0.016666667,2,120,Current,shallow,2017,7/28/2017,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,0,47.51666_-123.0333_7/28/2017,1,0
13293,47.51666_-123.0333,47.51666,-123.0333,n/a,-10,1,0.011111111,2,180,Decline,shallow,2015,7/8/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.51666_-123.0333_7/8/2015,1,0
13247,47.80119_-122.3952,47.80119,-122.3952,n/a,-10,1,0.05,33,660,Decline,shallow,2014,1/1/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.80119_-122.3952_1/1/2014,1,0
13349,47.80119_-122.3952,47.80119,-122.3952,n/a,-10,1,0.031481481,17,540,Decline,shallow,2013,12/24/2013,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,0,0,47.80119_-122.3952_12/24/2013,1,0
13350,47.80119_-122.3952,47.80119,-122.3952,n/a,-10,1,0.022222222,12,540,Decline,shallow,2013,12/28/2013,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,0,0,47.80119_-122.3952_12/28/2013,1,0
13249,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.029166667,7,240,Decline,shallow,2014,1/23/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81369_-122.3828_1/23/2014,1,0
13344,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.041666667,5,120,Decline,shallow,2014,10/25/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81369_-122.3828_10/25/2014,1,0
13263,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.008333333,1,120,Decline,shallow,2014,3/16/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81369_-122.3828_3/16/2014,1,0
13266,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.008333333,1,120,Decline,shallow,2015,3/21/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81369_-122.3828_3/21/2015,1,0
13262,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.016666667,3,180,Decline,shallow,2014,3/9/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81369_-122.3828_3/9/2014,1,0
13279,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.027777778,5,180,Current,shallow,2017,4/15/2017,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,0,47.81369_-122.3828_4/15/2017,3,1
13282,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.022222222,4,180,Decline,shallow,2014,5/10/2014,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81369_-122.3828_5/10/2014,1,0
13287,47.81369_-122.3828,47.81369,-122.3828,n/a,-10,1,0.008333333,1,120,Current,shallow,2018,5/26/2018,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,0,47.81369_-122.3828_5/26/2018,3,1
13269,47.81532_-122.3862,47.81532,-122.3862,n/a,-10,0,0,0,60,Decline,shallow,2016,3/12/2016,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,0,47.81532_-122.3862_3/12/2016,1,0
13267,47.81532_-122.3862,47.81532,-122.3862,n/a,-10,1,0.008333333,1,120,Decline,shallow,2015,3/21/2015,Salish Sea,SalishSea,Canada + Puget Sound,MARINe_CitSciDive_AK-BC,NA,NA,NA,NA,1,1,47.81532_-122.3862_3/21/2015,1,0
