date_observed,description,comments,geoprivacy,max_depth,bottom_time,year,abundance,presence,pres_abs,abundance_recode,wasting,num_surveys,multiple_surveys,geometry,region,region_numeric,lon,lat
2001-01-08T11:13:00Z,NA,NA,open,74,66,2001,1,1,1,2,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-01-13T11:52:00Z,NA,NA,open,33,78,2001,1,1,1,2,0,1,0,"c(-124.0646, 49.6188)",Johnstone Strait/Northern Salish Sea,3,-124.0646,49.6188
2001-01-14T11:23:00Z,NA,NA,open,107,58,2001,1,1,1,2,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-01-31T15:01:00Z,NA,NA,open,53,65,2001,2,1,1,3,0,1,0,"c(-123.419459, 48.421341)",Salish Sea,5,-123.419459,48.421341
2001-02-03T15:47:00Z,NA,NA,open,102,55,2001,6,1,1,7,0,1,0,"c(-122.91888, 49.34158)",Salish Sea,5,-122.91888,49.34158
2001-02-10T11:19:00Z,NA,NA,open,63,58,2001,2,1,1,3,0,1,0,"c(-125.193858, 48.952507)",West Coast Vancouver Island,4,-125.193858,48.952507
2001-02-10T15:01:00Z,NA,NA,open,69,56,2001,2,1,1,3,0,1,0,"c(-125.235184, 48.944273)",West Coast Vancouver Island,4,-125.235184,48.944273
2001-02-11T10:22:00Z,NA,NA,open,70,50,2001,2,1,1,3,0,1,0,"c(-125.304356, 48.929572)",West Coast Vancouver Island,4,-125.304356,48.929572
2001-02-11T14:12:00Z,NA,NA,open,59,55,2001,2,1,1,3,0,1,0,"c(-125.032349, 48.955025)",West Coast Vancouver Island,4,-125.032349,48.955025
2001-02-12T16:24:00Z,NA,NA,open,62,47,2001,2,1,1,3,0,1,0,"c(-122.93987, 49.31677)",Salish Sea,5,-122.93987,49.31677
2001-02-17T07:45:00Z,NA,NA,open,82,48,2001,1,1,1,2,0,1,0,"c(-123.30296, 48.86797)",Salish Sea,5,-123.30296,48.86797
2001-02-17T11:05:00Z,NA,NA,open,75,56,2001,3,1,1,4,0,1,0,"c(-123.285, 48.87333)",Salish Sea,5,-123.285,48.87333
2001-02-17T11:40:00Z,NA,NA,open,75,56,2001,2,1,1,3,0,1,0,"c(-123.285, 48.87333)",Salish Sea,5,-123.285,48.87333
2001-02-24T11:23:00Z,NA,NA,open,72,47,2001,1,1,1,2,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-02-25T11:03:00Z,NA,NA,open,90,48,2001,2,1,1,3,0,1,0,"c(-124.0646, 49.6188)",Johnstone Strait/Northern Salish Sea,3,-124.0646,49.6188
2001-02-25T14:42:00Z,NA,NA,open,94,58,2001,1,1,1,2,0,1,0,"c(-124.085439, 49.673366)",Johnstone Strait/Northern Salish Sea,3,-124.085439,49.673366
2001-03-03T19:39:00Z,NA,NA,open,38,56,2001,2,1,1,3,0,1,0,"c(-123.24942, 49.33717)",Salish Sea,5,-123.24942,49.33717
2001-03-06T19:43:00Z,NA,NA,open,45,50,2001,1,1,1,2,0,1,0,"c(-123.24942, 49.33717)",Salish Sea,5,-123.24942,49.33717
2001-03-25T10:54:00Z,NA,NA,open,58,58,2001,1,1,1,2,0,1,0,"c(-124.085439, 49.673366)",Johnstone Strait/Northern Salish Sea,3,-124.085439,49.673366
2001-04-08T11:32:00Z,NA,NA,open,96,59,2001,1,1,1,2,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-04-09T11:04:00Z,NA,NA,open,76,55,2001,1,1,1,2,0,1,0,"c(-124.05929, 49.60316)",Johnstone Strait/Northern Salish Sea,3,-124.05929,49.60316
2001-04-16T15:15:00Z,NA,NA,open,63,50,2001,3,1,1,4,0,1,0,"c(-124.241, 49.3142)",Johnstone Strait/Northern Salish Sea,3,-124.241,49.3142
2001-04-21T11:15:00Z,NA,NA,open,99,50,2001,2,1,1,3,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-04-22T11:32:00Z,NA,NA,open,127,37,2001,2,1,1,3,0,1,0,"c(-124.027652, 49.744345)",Johnstone Strait/Northern Salish Sea,3,-124.027652,49.744345
2001-04-29T13:17:00Z,NA,NA,open,67,50,2001,3,1,1,4,0,1,0,"c(-123.2455, 49.40333)",Salish Sea,5,-123.2455,49.40333
2001-05-05T10:45:00Z,NA,NA,open,73,58,2001,6,1,1,7,0,1,0,"c(-122.91426, 49.33086)",Salish Sea,5,-122.91426,49.33086
2001-05-20T12:02:00Z,NA,NA,open,82,51,2001,3,1,1,4,0,1,0,"c(-123.32936, 48.833947)",Salish Sea,5,-123.32936,48.833947
2001-05-26T11:56:00Z,NA,NA,open,81,55,2001,1,1,1,2,0,1,0,"c(-123.31215, 49.41805)",Salish Sea,5,-123.31215,49.41805
2001-05-29T16:31:00Z,NA,NA,open,73,53,2001,1,1,1,2,0,1,0,"c(-123.24942, 49.33717)",Salish Sea,5,-123.24942,49.33717
2001-06-03T13:00:00Z,NA,NA,open,127,51,2001,3,1,1,4,0,1,0,"c(-123.293335, 49.371666)",Salish Sea,5,-123.293335,49.371666
2001-06-09T11:09:00Z,NA,NA,open,89,55,2001,1,1,1,2,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-06-09T16:21:00Z,NA,NA,open,102,41,2001,1,1,1,2,0,1,0,"c(-124.027652, 49.744345)",Johnstone Strait/Northern Salish Sea,3,-124.027652,49.744345
2001-06-09T20:32:00Z,NA,NA,open,92,38,2001,NA,NA,0,1,0,1,0,"c(-126.833791, 50.588088)",Johnstone Strait/Northern Salish Sea,3,-126.833791,50.588088
2001-06-10T10:02:00Z,NA,NA,open,63,45,2001,2,1,1,3,0,1,0,"c(-128.167883, 51.717458)",North and Central Coast,2,-128.167883,51.717458
2001-06-10T11:05:00Z,NA,NA,open,125,48,2001,1,1,1,2,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-06-12T11:47:00Z,NA,NA,open,144,39,2001,2,1,1,3,0,1,0,"c(-130.8275, 54.6516)",North and Central Coast,2,-130.8275,54.6516
2001-06-14T20:46:00Z,NA,NA,open,103,47,2001,3,1,1,4,0,1,0,"c(-123.824, 49.634)",Johnstone Strait/Northern Salish Sea,3,-123.824,49.634
2001-06-17T21:42:00Z,NA,NA,open,64,45,2001,1,1,1,2,0,1,0,"c(-132.9598, 54.2383)",Haida Gwaii,1,-132.9598,54.2383
2001-06-18T10:01:00Z,NA,NA,open,61,46,2001,2,1,1,3,0,1,0,"c(-133.03005, 54.2611)",Haida Gwaii,1,-133.03005,54.2611
2001-06-18T15:49:00Z,NA,NA,open,110,37,2001,2,1,1,3,0,1,0,"c(-133.01435, 54.19005)",Haida Gwaii,1,-133.01435,54.19005
2001-06-19T14:37:00Z,NA,NA,open,80,38,2001,2,1,1,3,0,1,0,"c(-129.162308, 52.876019)",North and Central Coast,2,-129.162308,52.876019
2001-06-19T21:25:00Z,NA,NA,open,79,47,2001,2,1,1,3,0,1,0,"c(-130.8275, 54.6516)",North and Central Coast,2,-130.8275,54.6516
2001-06-20T07:33:00Z,NA,NA,open,80,39,2001,NA,NA,0,1,0,1,0,"c(-128.0604, 51.7882)",North and Central Coast,2,-128.0604,51.7882
2001-06-20T13:54:00Z,NA,NA,open,68,48,2001,2,1,1,3,0,1,0,"c(-127.427922, 50.886445)",Johnstone Strait/Northern Salish Sea,3,-127.427922,50.886445
2001-06-20T15:43:00Z,NA,NA,open,80,37,2001,NA,NA,0,1,0,1,0,"c(-127.63324, 51.087478)",North and Central Coast,2,-127.63324,51.087478
2001-06-20T20:55:00Z,NA,NA,open,47,20,2001,NA,NA,0,1,0,1,0,"c(-127.473539, 51.088792)",North and Central Coast,2,-127.473539,51.088792
2001-06-21T10:20:00Z,NA,NA,open,87,40,2001,NA,NA,0,1,0,1,0,"c(-127.166834, 51.12354)",North and Central Coast,2,-127.166834,51.12354
2001-06-21T18:55:00Z,NA,NA,open,64,32,2001,2,1,1,3,0,1,0,"c(-126.764268, 50.585009)",Johnstone Strait/Northern Salish Sea,3,-126.764268,50.585009
2001-06-25T17:12:00Z,NA,NA,open,102,51,2001,1,1,1,2,0,1,0,"c(-126.76249, 50.59019)",Johnstone Strait/Northern Salish Sea,3,-126.76249,50.59019
2001-06-25T20:37:00Z,NA,NA,open,85,70,2001,1,1,1,2,0,1,0,"c(-126.833791, 50.588088)",Johnstone Strait/Northern Salish Sea,3,-126.833791,50.588088
2001-06-26T11:03:00Z,NA,NA,open,85,51,2001,1,1,1,2,0,1,0,"c(-128.167883, 51.717458)",North and Central Coast,2,-128.167883,51.717458
2001-06-26T20:34:00Z,NA,NA,open,83,50,2001,NA,NA,0,1,0,1,0,"c(-134.117103, 57.126197)",NA,1,-134.117103,57.126197
2001-06-27T11:04:00Z,NA,NA,open,102,46,2001,1,1,1,2,0,1,0,"c(-128.964554, 52.99686)",North and Central Coast,2,-128.964554,52.99686
2001-06-27T15:24:00Z,NA,NA,open,124,48,2001,1,1,1,2,0,1,0,"c(-128.964554, 52.99686)",North and Central Coast,2,-128.964554,52.99686
2001-06-28T12:29:00Z,NA,NA,open,125,43,2001,1,1,1,2,0,1,0,"c(-130.8275, 54.6516)",North and Central Coast,2,-130.8275,54.6516
2001-07-03T10:34:00Z,NA,NA,open,36,30,2001,3,1,1,4,0,1,0,"c(-132.1457, 54.00669)",Haida Gwaii,1,-132.1457,54.00669
2001-07-03T16:34:00Z,NA,NA,open,83,52,2001,2,1,1,3,0,1,0,"c(-133.01435, 54.19005)",Haida Gwaii,1,-133.01435,54.19005
2001-07-03T21:34:00Z,NA,NA,open,84,51,2001,3,1,1,4,0,1,0,"c(-133.01435, 54.19005)",Haida Gwaii,1,-133.01435,54.19005
2001-07-04T08:09:00Z,NA,NA,open,76,47,2001,2,1,1,3,0,1,0,"c(-132.9598, 54.2383)",Haida Gwaii,1,-132.9598,54.2383
2001-07-04T20:17:00Z,NA,NA,open,113,47,2001,2,1,1,3,0,1,0,"c(-133.01435, 54.19005)",Haida Gwaii,1,-133.01435,54.19005
2001-07-05T09:23:00Z,NA,NA,open,64,39,2001,2,1,1,3,0,1,0,"c(-130.8275, 54.6516)",North and Central Coast,2,-130.8275,54.6516
2001-07-05T18:46:00Z,NA,NA,open,101,51,2001,2,1,1,3,0,1,0,"c(-128.790123, 52.394392)",North and Central Coast,2,-128.790123,52.394392
2001-07-06T08:34:00Z,NA,NA,open,69,52,2001,2,1,1,3,0,1,0,"c(-127.854844, 50.855427)",West Coast Vancouver Island,4,-127.854844,50.855427
2001-07-06T15:31:00Z,NA,NA,open,71,51,2001,1,1,1,2,0,1,0,"c(-127.854844, 50.855427)",West Coast Vancouver Island,4,-127.854844,50.855427
2001-07-06T20:37:00Z,NA,NA,open,100,48,2001,1,1,1,2,0,1,0,"c(-127.656457, 50.850578)",Johnstone Strait/Northern Salish Sea,3,-127.656457,50.850578
2001-07-07T09:16:00Z,NA,NA,open,83,63,2001,2,1,1,3,0,1,0,"c(-127.643881, 50.847722)",Johnstone Strait/Northern Salish Sea,3,-127.643881,50.847722
2001-07-07T15:02:00Z,NA,NA,open,29,32,2001,1,1,1,2,0,1,0,"c(-126.927371, 50.580209)",Johnstone Strait/Northern Salish Sea,3,-126.927371,50.580209
2001-07-07T18:21:00Z,NA,NA,open,102,38,2001,1,1,1,2,0,1,0,"c(-126.764268, 50.585009)",Johnstone Strait/Northern Salish Sea,3,-126.764268,50.585009
2001-07-11T10:23:00Z,NA,NA,open,97,51,2001,NA,NA,0,1,0,1,0,"c(-124.076, 49.704)",Johnstone Strait/Northern Salish Sea,3,-124.076,49.704
2001-07-12T11:24:00Z,NA,NA,open,91,61,2001,2,1,1,3,0,1,0,"c(-124.124957, 49.491797)",Johnstone Strait/Northern Salish Sea,3,-124.124957,49.491797
2001-07-12T15:11:00Z,NA,NA,open,99,56,2001,2,1,1,3,0,1,0,"c(-124.137195, 49.517436)",Johnstone Strait/Northern Salish Sea,3,-124.137195,49.517436
2001-08-11T22:12:00Z,NA,NA,open,80,57,2001,3,1,1,4,0,1,0,"c(-123.2935, 49.37267)",Salish Sea,5,-123.2935,49.37267
2001-08-18T12:32:00Z,NA,NA,open,21,27,2001,1,1,1,2,0,1,0,"c(-125.908, 49.155)",West Coast Vancouver Island,4,-125.908,49.155
2001-08-18T13:23:00Z,NA,NA,open,23,27,2001,2,1,1,3,0,1,0,"c(-125.901677, 49.155065)",West Coast Vancouver Island,4,-125.901677,49.155065
2001-09-01T13:50:00Z,NA,NA,open,124,51,2001,3,1,1,4,0,1,0,"c(-124.189988, 49.779157)",Johnstone Strait/Northern Salish Sea,3,-124.189988,49.779157
2001-09-02T12:22:00Z,NA,NA,open,79,62,2001,3,1,1,4,0,1,0,"c(-124.123257, 49.496257)",Johnstone Strait/Northern Salish Sea,3,-124.123257,49.496257
2001-09-03T13:03:00Z,NA,NA,open,129,42,2001,2,1,1,3,0,1,0,"c(-124.189988, 49.779157)",Johnstone Strait/Northern Salish Sea,3,-124.189988,49.779157
2001-09-09T11:42:00Z,NA,NA,open,87,43,2001,3,1,1,4,0,1,0,"c(-124.130188, 49.512358)",Johnstone Strait/Northern Salish Sea,3,-124.130188,49.512358
2001-09-11T11:23:00Z,NA,NA,open,97,56,2001,NA,NA,0,1,0,1,0,"c(-124.12243, 49.494696)",Johnstone Strait/Northern Salish Sea,3,-124.12243,49.494696
2001-09-11T16:12:00Z,NA,NA,open,93,59,2001,2,1,1,3,0,1,0,"c(-124.124957, 49.491797)",Johnstone Strait/Northern Salish Sea,3,-124.124957,49.491797
2001-09-12T11:30:00Z,NA,NA,open,84,60,2001,1,1,1,2,0,1,0,"c(-124.085439, 49.673366)",Johnstone Strait/Northern Salish Sea,3,-124.085439,49.673366
